month,total_import_usd,total_import_eur,avg_usd_per_eur
2018-01-01,60368781813.856,49484636103.00094,1.21995
2018-02-01,56432851788.717,45702758214.999435,1.23478
2018-03-01,61270310105.447,49667123917.7946,1.2336190476190476
2018-04-01,58892551165.160995,47972557827.0008,1.2276299999999998
2018-05-01,55656511515.269005,47117711359.79736,1.1812227272727271
2018-06-01,58200213134.907,49836264121.9784,1.1678285714285714
2018-07-01,58426016141.630005,49997757758.72118,1.1685727272727278
2018-08-01,54161349079.422,46897179825.26959,1.1548956521739129
2018-09-01,58093949679.141,49828839989.99974,1.16587
2018-10-01,62405888402.244995,54341389877.51,1.148404347826087
2018-11-01,59997734534.97,52783016014.22557,1.1366863636363636
2018-12-01,51247314644.362,45016133991.81129,1.1384210526315786
2019-01-01,58382790525.866,51139364454.23661,1.141640909090909
2019-02-01,55424856496.69201,48827525402.00069,1.1351149999999999
2019-03-01,58423752042.04,51691108264.63817,1.1302476190476192
2019-04-01,56031100640.268,49857496176.24453,1.1238249999999999
2019-05-01,54922711467.593994,49105695428.65664,1.1184590909090908
2019-06-01,52566503493.869,46546215926.000145,1.1293399999999998
2019-07-01,54866488587.093,48907625967.574165,1.1218391304347828
2019-08-01,49748248649.106,44712594331.99737,1.1126227272727272
2019-09-01,53870976149.711006,48956236277.3358,1.1003904761904761
2019-10-01,56861154713.741,51446115535.48627,1.1052565217391306
2019-11-01,55538572554.48601,50256820082.05309,1.105095238095238
2019-12-01,49723563305.05299,44741788827.999405,1.111345
2020-01-01,54933831883.778,49488317395.13515,1.1100363636363635
2020-02-01,49934242346.12,45790226819.00046,1.0905000000000002
2020-03-01,51337644975.411,46403097411.98637,1.1063409090909089
2020-04-01,39744523395.965,36590765331.99993,1.08619
2020-05-01,38993665868.025,35767934678.99942,1.0901850000000002
2020-06-01,45040161091.841995,40019367612.42983,1.125459090909091
2020-07-01,47656101439.005005,41572428414.73102,1.1463391304347825
2020-08-01,45526339574.001,38490000847.619514,1.1828095238095238
2020-09-01,51506322005.01,43677523064.15221,1.179240909090909
2020-10-01,54828869100.409996,46563076432.28903,1.1775181818181817
2020-11-01,57671329335.917,48717514201.9283,1.1837904761904763
2020-12-01,54662623397.709,44916884473.006714,1.2169727272727275
2021-01-01,55435939240.962,45548124610.00011,1.2170850000000006
2021-02-01,56696345791.632,46864617653.99945,1.2097900000000001
2021-03-01,64952619229.094,54586221166.73775,1.1899086956521738
2021-04-01,59270977580.414,49478656643.99994,1.1979100000000005
2021-05-01,60292801380.11,49640436477.99415,1.2145904761904764
2021-06-01,63733506891.453,52903648999.07809,1.204709090909091
2021-07-01,61603110894.834,52109675472.406494,1.1821818181818182
2021-08-01,57974806176.564995,49248812104.580666,1.177181818181818
2021-09-01,64768928478.770004,55027338665.16856,1.177031818181818
2021-10-01,68344681809.804,58910332347.11034,1.160147619047619
2021-11-01,71970853223.544,63054640451.67508,1.1414045454545454
2021-12-01,70038385141.498,61960131016.33753,1.1303782608695647
2022-01-01,69994544831.07,61862823919.31407,1.131447619047619
2022-02-01,66339794355.298004,58490900426.99899,1.1341900000000003
2022-03-01,77368299235.703,70213816601.47609,1.101895652173913
2022-04-01,69234426922.74399,63994926517.938484,1.081873684210526
2022-05-01,72471990942.992,68508759221.999344,1.05785
2022-06-01,72890248537.964,68986847287.78946,1.0565818181818178
2022-07-01,70982033886.33902,69734451344.8972,1.0178904761904761
2022-08-01,73972373644.36401,73034358449.32358,1.0128434782608693
2022-09-01,75472919730.812,76206231513.1453,0.9903772727272727
2022-10-01,70115367331.359,71359399529.82901,0.9825666666666667
2022-11-01,74688632866.936,73215014306.2627,1.0201272727272725
2022-12-01,67502448439.240005,63748855135.65713,1.0588809523809528
2023-01-01,70102365683.643,65096448772.99936,1.0769
2023-02-01,64732298828.34601,60412220911.000374,1.07151
2023-03-01,73248945610.181,68419704388.27143,1.0705826086956522
2023-04-01,63981912076.827,58336554099.80226,1.0967722222222223
2023-05-01,67746845632.552,62338942381.00021,1.08675
2023-06-01,68944491590.149,63602729612.63677,1.0839863636363638
2023-07-01,65336353391.44301,59084381740.68249,1.1058142857142859
2023-08-01,62042636972.15,56873571180.98755,1.0908869565217392
2023-09-01,64732970194.270996,60589783119.97197,1.0683809523809522
2023-10-01,66049897386.014,62532178129.07995,1.0562545454545453
2023-11-01,67767958000.673996,62700345108.09645,1.080822727272727
2023-12-01,58690703311.297,53829606528.09174,1.0903052631578947
2024-01-01,62825710810.035,57611118939.81442,1.0905136363636367
2024-02-01,62210027875.079994,57630082861.39512,1.0794714285714286
2024-03-01,63860162997.793,58737112082.000885,1.08722
2024-04-01,65501968629.024,61058372855.89698,1.0727761904761905
2024-05-01,61543993606.725,56920736176.12847,1.081222727272727
2024-06-01,61214561514.65499,56896144172.000175,1.0759
2024-07-01,64301035444.770996,59295942297.93569,1.0844086956521737
2024-08-01,60597682122.421005,55027861983.14521,1.1012181818181814
2024-09-01,65702965205.75,59159882231.00127,1.1105999999999998
2024-10-01,67221447009.5,61646462568.52073,1.090434782608696
2024-11-01,62865089969.692,59138518470.0977,1.0630142857142857
2024-12-01,54873404898.32101,52366365165.99881,1.0478749999999997
2025-01-01,62308154315.899,60179443281.28552,1.0353727272727273
2025-02-01,60342082497.09601,57951579829.14381,1.04125
2025-03-01,65797011580.16501,60884770324.859764,1.0806809523809522
2025-04-01,68330850633.024994,60933792849.99933,1.121395
2025-05-01,65394062890.615005,57983495991.070526,1.1278047619047618
